Cruise,Rep,Compound,detected
KM1906,220628_Smp_MU2_B,beta-Alanine,Yes
KM1906,220628_Smp_MU2_C,beta-Alanine,Yes
KM1906,220628_Smp_MU3_A,beta-Alanine,Yes
KM1906,220628_Smp_MU3_B,beta-Alanine,Yes
KM1906,220628_Smp_MU3_C,beta-Alanine,Yes
KM1906,220628_Smp_MU4_A,beta-Alanine,Yes
KM1906,220628_Smp_MU4_B,beta-Alanine,Yes
KM1906,220628_Smp_MU4_C,beta-Alanine,Yes
KM1906,220628_Smp_MU5_A,beta-Alanine,Yes
KM1906,220628_Smp_MU5_B,beta-Alanine,Yes
KM1906,220628_Smp_MU5_C,beta-Alanine,Yes
KM1906,220628_Smp_MU6_A,beta-Alanine,Yes
KM1906,220628_Smp_MU6_B,beta-Alanine,Yes
KM1906,220628_Smp_MU6_C,beta-Alanine,Yes
KM1906,220628_Smp_MU7_A,beta-Alanine,Yes
KM1906,220628_Smp_MU7_B,beta-Alanine,Yes
KM1906,220628_Smp_MU7_C,beta-Alanine,Yes
KM1906,220628_Smp_MU8_A,beta-Alanine,Yes
KM1906,220628_Smp_MU8_B,beta-Alanine,Yes
KM1906,220628_Smp_MU8_C,beta-Alanine,Yes
KM1906,220628_Smp_MU9_A,beta-Alanine,Yes
KM1906,220628_Smp_MU9_B,beta-Alanine,Yes
KM1906,220628_Smp_MU9_C,beta-Alanine,Yes
KM1906,220628_Smp_MU10_A,beta-Alanine,Yes
KM1906,220628_Smp_MU10_B,beta-Alanine,Yes
KM1906,220628_Smp_MU10_C,beta-Alanine,Yes
KM1906,220628_Smp_MU11_A,beta-Alanine,Yes
KM1906,220628_Smp_MU11_B,beta-Alanine,Yes
KM1906,220628_Smp_MU11_C,beta-Alanine,Yes
KM1906,220628_Smp_MU14_A,beta-Alanine,Yes
KM1906,220628_Smp_MU14_B,beta-Alanine,Yes
KM1906,220628_Smp_MU14_C,beta-Alanine,Yes
KM1906,220628_Smp_MU15_A,beta-Alanine,Yes
KM1906,220628_Smp_MU15_B,beta-Alanine,Yes
KM1906,220628_Smp_MU15_C,beta-Alanine,Yes
KM1906,220628_Smp_MU16_A,beta-Alanine,Yes
KM1906,220628_Smp_MU16_B,beta-Alanine,Yes
KM1906,220628_Smp_MU16_C,beta-Alanine,Yes
KM1906,220628_Smp_MU17_A,beta-Alanine,Yes
KM1906,220628_Smp_MU17_B,beta-Alanine,Yes
KM1906,220628_Smp_MU17_C,beta-Alanine,Yes
KM1906,220628_Smp_MU18_A,beta-Alanine,Yes
KM1906,220628_Smp_MU18_B,beta-Alanine,Yes
KM1906,220628_Smp_MU18_C,beta-Alanine,Yes
KM1906,220628_Smp_MU19_A,beta-Alanine,Yes
KM1906,220628_Smp_MU19_B,beta-Alanine,Yes
KM1906,220628_Smp_MU19_C,beta-Alanine,Yes
KM1906,220628_Smp_MU20_A,beta-Alanine,Yes
KM1906,220628_Smp_MU20_B,beta-Alanine,Yes
KM1906,220628_Smp_MU20_C,beta-Alanine,Yes
KM1906,220628_Smp_MU21_A,beta-Alanine,Yes
KM1906,220628_Smp_MU21_B,beta-Alanine,Yes
KM1906,220628_Smp_MU21_C,beta-Alanine,Yes
KM1906,220628_Smp_MU22_A,beta-Alanine,Yes
KM1906,220628_Smp_MU22_B,beta-Alanine,Yes
KM1906,220628_Smp_MU22_C,beta-Alanine,Yes
KM1906,220628_Smp_MU23_A,beta-Alanine,Yes
KM1906,220628_Smp_MU23_B,beta-Alanine,Yes
KM1906,220628_Smp_MU23_C,beta-Alanine,Yes
KM1906,220628_Smp_MU24_A,beta-Alanine,Yes
KM1906,220628_Smp_MU24_B,beta-Alanine,Yes
KM1906,220628_Smp_MU24_C,beta-Alanine,Yes
KM1906,220628_Smp_MU1_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU1_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU1_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU2_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU2_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU2_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU3_A,beta-Alaninebetaine,Yes
