Part.SampID,Diss.SampID,Cruise,Compound,compound.name.figure,order,class,Part.Conc.nM,Part.C.nM,Part.N.nM,Part.S.nM,Diss.Conc.nM.adj,Diss.N.nM.adj,Diss.S.nM.adj,Total.Conc.nM,Total.C.nM,Total.N.nM,Total.S.nM,Part.Flag,Diss.Flag,Tot.Flag,Diss.LOD.nM.adj,Lat,Long,depth_m,Local_Date,Local_Time,station,Region,Treatment
220628_Smp_MU20_B,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.06996249587582258,0.4897374711307581,0.06996249587582258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.48,-158,7,4/25/19,18:24:00,NA,NPTZ,NA
220628_Smp_MU20_C,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.05759462552273353,0.4031623786591347,0.05759462552273353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.48,-158,7,4/25/19,18:24:00,NA,NPTZ,NA
220628_Smp_MU21_A,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01809978036193849,0.12669846253356945,0.01809978036193849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.55,-158,7,4/26/19,06:00:00,NA,NPSG,NA
220628_Smp_MU21_B,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02888035195018445,0.20216246365129115,0.02888035195018445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.55,-158,7,4/26/19,06:00:00,NA,NPSG,NA
220628_Smp_MU21_C,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01548924898526266,0.10842474289683866,0.01548924898526266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.55,-158,7,4/26/19,06:00:00,NA,NPSG,NA
220628_Smp_MU22_A,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01259245133170634,0.08814715932194439,0.01259245133170634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.39,-158,7,4/26/19,12:00:00,NA,NPSG,NA
220628_Smp_MU22_B,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01830694474472593,0.12814861321308155,0.01830694474472593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.39,-158,7,4/26/19,12:00:00,NA,NPSG,NA
220628_Smp_MU22_C,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0187889484257707,0.13152263898039493,0.0187889484257707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.39,-158,7,4/26/19,12:00:00,NA,NPSG,NA
220628_Smp_MU23_A,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02269777839604277,0.1588844487722994,0.02269777839604277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.34,-158,7,4/26/19,18:30:00,NA,NPSG,NA
220628_Smp_MU23_B,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02328058016904304,0.16296406118330128,0.02328058016904304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.34,-158,7,4/26/19,18:30:00,NA,NPSG,NA
220628_Smp_MU23_C,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02502904025721315,0.17520328180049208,0.02502904025721315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.34,-158,7,4/26/19,18:30:00,NA,NPSG,NA
220628_Smp_MU24_A,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0229141303069763,0.1603989121488341,0.0229141303069763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.24,-158,7,4/27/19,06:00:00,NA,NPSG,NA
220628_Smp_MU24_B,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02435111965083814,0.17045783755586705,0.02435111965083814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.24,-158,7,4/27/19,06:00:00,NA,NPSG,NA
220628_Smp_MU24_C,NA,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01793866924368331,0.12557068470578325,0.01793866924368331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.24,-158,7,4/27/19,06:00:00,NA,NPSG,NA
220628_Smp_MU1_A,220623_Smp_MU1_A,KM1906,2-O-alpha-D-Glucosylglycerol,GG,23,Sugar,0.02509736749350841,0.22587630744157575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.24,-158,7,4/10/19,05:30:00,NA,NPSG,NA
220628_Smp_MU1_B,220623_Smp_MU1_B,KM1906,2-O-alpha-D-Glucosylglycerol,GG,23,Sugar,0.05066551267336026,0.4559896140602424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.24,-158,7,4/10/19,05:30:00,NA,NPSG,NA
220628_Smp_MU1_C,220623_Smp_MU1_C,KM1906,2-O-alpha-D-Glucosylglycerol,GG,23,Sugar,0.09887569753600078,0.88988127782400706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.24,-158,7,4/10/19,05:30:00,NA,NPSG,NA
220628_Smp_MU2_A,220623_Smp_MU2_A,KM1906,2-O-alpha-D-Glucosylglycerol,GG,23,Sugar,0.0771789491243043,0.6946105421187387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,-158,7,4/10/19,18:40:00,NA,NPSG,NA
220628_Smp_MU2_B,220623_Smp_MU2_B,KM1906,2-O-alpha-D-Glucosylglycerol,GG,23,Sugar,0.11801661017748365,1.0621494915973528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,-158,7,4/10/19,18:40:00,NA,NPSG,NA
