Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av,smp.remove
220623_Smp_MU14_B,MU14,B,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,Arsenobetaine,13470,Flag,NA,852,NA
220623_Smp_MU15_B,MU15,B,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,Arsenobetaine,10854,Flag,NA,852,Smp_Remove
220623_Smp_MU17_B,MU17,B,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,Arsenobetaine,9932,Flag,NA,852,Smp_Remove
220623_Smp_MU2_B,MU2,B,KM1906,Arsenobetaine,17230,Flag,NA,852,Smp_Remove
220623_Smp_MU2_C,MU2,C,KM1906,Arsenobetaine,129387,NA,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,Arsenobetaine,8732,Flag,NA,852,NA
220623_Smp_MU4_A,MU4,A,KM1906,Arsenobetaine,25731,Flag,NA,852,Smp_Remove
220623_Smp_MU4_B,MU4,B,KM1906,Arsenobetaine,18573,Flag,NA,852,Smp_Remove
220623_Smp_MU4_C,MU4,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,Arsenobetaine,7436,Flag,NA,852,NA
220623_Smp_MU5_C,MU5,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,Arsenobetaine,12666,Flag,NA,852,Smp_Remove
220623_Smp_MU7_B,MU7,B,KM1906,Arsenobetaine,23540,Flag,NA,852,Smp_Remove
220623_Smp_MU7_C,MU7,C,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,Arsenobetaine,29779,Flag,NA,852,Smp_Remove
220623_Smp_MU8_B,MU8,B,KM1906,Arsenobetaine,12251,Flag,NA,852,Smp_Remove
220623_Smp_MU8_C,MU8,C,KM1906,Arsenobetaine,14195,Flag,NA,852,Smp_Remove
220623_Smp_MU9_A,MU9,A,KM1906,Arsenobetaine,NA,NA,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,Arsenobetaine,10826,Flag,NA,852,Smp_Remove
220623_Smp_MU9_C,MU9,C,KM1906,Arsenobetaine,14779,Flag,NA,852,Smp_Remove
220623_Smp_MU1_A,MU1,A,KM1906,beta-Alanine,2924447,NA,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,beta-Alanine,880747,NA,NA,NA,NA
220623_Smp_MU1_C,MU1,C,KM1906,beta-Alanine,1628134,NA,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,beta-Alanine,3224975,NA,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,beta-Alanine,7430389,NA,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,beta-Alanine,12599404,NA,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,beta-Alanine,10944393,NA,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,beta-Alanine,22161982,NA,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,beta-Alanine,15351793,NA,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,beta-Alanine,27527282,NA,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,beta-Alanine,12146193,NA,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,beta-Alanine,21367106,NA,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,beta-Alanine,1611692,NA,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,beta-Alanine,1122605,NA,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,beta-Alanine,907152,NA,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,beta-Alanine,6789437,NA,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,beta-Alanine,4581901,NA,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,beta-Alanine,7458864,NA,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,beta-Alanine,3262416,NA,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,beta-Alanine,3873884,NA,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,beta-Alanine,3653992,NA,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,beta-Alanine,7747696,NA,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,beta-Alanine,6965494,NA,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,beta-Alanine,4093514,NA,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,beta-Alanine,3568583,NA,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,beta-Alanine,4230736,NA,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,beta-Alanine,1857204,NA,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,beta-Alanine,1236976,NA,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,beta-Alanine,1474157,NA,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,beta-Alanine,779309,NA,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,beta-Alanine,971503,NA,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,beta-Alanine,1655142,NA,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,beta-Alanine,2014867,NA,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,beta-Alanine,1334563,NA,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,beta-Alanine,1612679,NA,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,beta-Alanine,1103818,NA,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,beta-Alanine,1078077,NA,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,beta-Alanine,1407218,NA,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,beta-Alanine,1832429,NA,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,beta-Alanine,1328403,NA,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,beta-Alanine,2166449,NA,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,beta-Alanine,1303534,NA,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,beta-Alanine,2092611,NA,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,beta-Alanine,1745163,NA,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,beta-Alanine,1873189,NA,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,beta-Alanine,3040098,NA,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,beta-Alanine,2449873,NA,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,beta-Alanine,2251833,NA,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,beta-Alanine,2000165,NA,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,beta-Alanine,3551376,NA,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,beta-Alaninebetaine,3549168,NA,NA,NA,NA
