Cruise,Parent_ID,Part.SampID,Diss.SampID
RC078,S8_C1_D1_A_4L,221006_Smp_S8_C1_D1_A_4L,NA
RC078,S8_C1_D2_A,221006_Smp_S8_C1_D2_A,NA
TN397,TN397_S11_600_U_C,220902_Smp_TN397_S11_600_U_C,220602_Smp_TN397_S11_600_U_C
KM1906,MU12_A,NA,220623_Smp_MU12_A
KM1906,MU12_B,NA,220623_Smp_MU12_B
KM1906,MU12_C,NA,220623_Smp_MU12_C
KM1906,MU13_A,NA,220623_Smp_MU13_A
KM1906,MU13_B,NA,220623_Smp_MU13_B
KM1906,MU13_C,NA,220623_Smp_MU13_C
TN397,KM1906_GBTK1_0nM_A,NA,220602_Smp_KM1906_GBTK1_0nM_A
TN397,KM1906_GBTK1_0nM_B,NA,220602_Smp_KM1906_GBTK1_0nM_B
TN397,KM1906_GBTK1_0nM_C,NA,220602_Smp_KM1906_GBTK1_0nM_C
TN397,TN397_UCH1_Gluc_A,NA,220602_Smp_TN397_UCH1_Gluc_A
TN397,TN397_UCH1_Gluc_B,NA,220602_Smp_TN397_UCH1_Gluc_B
TN397,TN397_UCH1_Gluc_C,NA,220602_Smp_TN397_UCH1_Gluc_C
TN397,TN397_UKH1_0nM_A,NA,220602_Smp_TN397_UKH1_0nM_A
TN397,TN397_UKH1_0nM_B,NA,220602_Smp_TN397_UKH1_0nM_B
TN397,TN397_UKH1_0nM_C,NA,220602_Smp_TN397_UKH1_0nM_C
TN397,TN397_UKH2_0nM_A,NA,220602_Smp_TN397_UKH2_0nM_A
TN397,TN397_UKH2_0nM_B,NA,220602_Smp_TN397_UKH2_0nM_B
TN397,TN397_UKH2_0nM_C,NA,220602_Smp_TN397_UKH2_0nM_C
TN397,TN397_UKH3_0nM_A,NA,220602_Smp_TN397_UKH3_0nM_A
TN397,TN397_UKH3_0nM_B,NA,220602_Smp_TN397_UKH3_0nM_B
TN397,TN397_UKH3_0nM_C,NA,220602_Smp_TN397_UKH3_0nM_C
TN397,TN397_UKH4_0nM_A,NA,220602_Smp_TN397_UKH4_0nM_A
TN397,TN397_UKH4_0nM_B,NA,220602_Smp_TN397_UKH4_0nM_B
TN397,TN397_UKH4_0nM_C,NA,220602_Smp_TN397_UKH4_0nM_C
TN397,TN397_UKH5_0nM_A,NA,220602_Smp_TN397_UKH5_0nM_A
TN397,TN397_UKH5_0nM_B,NA,220602_Smp_TN397_UKH5_0nM_B
TN397,TN397_UKH5_0nM_C,NA,220602_Smp_TN397_UKH5_0nM_C
TN397,TN397_UKT1_0nM_A,NA,220602_Smp_TN397_UKT1_0nM_A
TN397,TN397_UKT1_0nM_B,NA,220602_Smp_TN397_UKT1_0nM_B
TN397,TN397_UKT1_0nM_C,NA,220602_Smp_TN397_UKT1_0nM_C
