Cruise,Parent_ID,Part.SampID,Compound,Part.detected,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.Impute.Conc.nM,Treatment,Replicate,POC_uM,PN_uM,Chlorophyte,Diatom,Dinoflagellate,Haptophyte,Metazoa,Other,N,P,Fe,N_status
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,Dimethylsulfoniopropionate,Yes,2.8468207706472506,0.1518304411011867,0.7591522055059335,NA,0.1518304411011867,0.0106997621603695,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,Ectoine,Yes,0.329316465692391,0.01756354483692751,0.10538126902156512,0.03512708967385503,NA,3.0422706700368506e-4,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,Gonyol,No,0.5626672046515218,0.03000891758141449,0.21006242306990144,NA,0.03000891758141449,0.02458960170325467,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,Hydroxyisoleucine,Yes,2.9260626721342424,0.15605667584715957,0.9363400550829576,0.15605667584715957,NA,0.01207979524801717,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,L-Asparagine,Yes,0.32551358576504963,0.01736072457413598,0.06944289829654392,0.03472144914827196,NA,0.00388575735989822,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,L-Aspartic acid,Yes,3.930348105014997,0.2096185656007998,0.8384742624031992,0.2096185656007998,NA,0.01346012419036903,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,L-Glutamic acid,Yes,13.28744651206089,0.7086638139765808,3.543319069882904,0.7086638139765808,NA,0.04957537084043275,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,L-Glutamine,No,0.5891942640907578,0.03142369408484041,0.15711847042420207,0.06284738816968083,NA,0.01339021686790056,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,L-Lysine,Yes,1.8955172673365688,0.10109425425795034,0.606565525547702,0.20218850851590067,NA,0.00263633011834891,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,L-Threonine,No,0.3067926221672123,0.01636227318225132,0.06544909272900529,0.01636227318225132,NA,0.00225959406794643,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
PERIFIX,T0Tote_3,230213_Smp_T0Tote_3,L-Tyrosine,Yes,0.8065852769228143,0.04301788143588343,0.3871609329229509,0.04301788143588343,NA,0.00279060930973216,Tote,3,5.494,0.458,0.002,0,0.319,0.037,0.373,0.269,0,0,0,minus_N
